pattern,tool,start_date,end_date
aider,Aider,,
aider@aider.chat,Aider,,
Claude,Claude Code,,
noreply@anthropic.com,Claude Code,,
claude@anthropic.com,Claude Code,,
assistant@anthropic.com,Claude Code,,
Copilot,Copilot,,
openhands@all-hands.dev,OpenHands,,
openhands-agent,OpenHands,,
devin-ai-integration,Devin,,
google-labs-jules,Jules,,
jules@users.noreply.github.com,Jules,,
copilot-swe-agent,Copilot,,
cline,Cline,,
cline@example.com,Cline,,
junie,Junie,,
jetbrains-junie,Junie,,
gru-agent,Gru,,
cursor,Cursor,,
cursoragent@cursor.com,Cursor,,
gemini-code-assist,Gemini,,
gemini-cli,Gemini,,
sweep-ai,Sweep,,
coderabbit,Coderabbit,,
sourcery-ai,Sourcery,,
deepsource-autofix,Deepsource,,
gpt-engineer,GPT-Engineer,,
codegen-sh,Codegen,,
hello@sketch.dev,Sketch,,
windsurf-bot,Windsurf,,
cascade@windsurf.ai,Windsurf,,
dev@fly.io,Fly,,
ChatGPT,ChatGPT,,
chatgpt@chatgpt.com,ChatGPT,,
chatgpt@openai.com,ChatGPT,,
chatGPT@no-reply.com,ChatGPT,,
roomote-agent,Roo Code,,
roomote@roocode.com,Roo Code,,
roomote,Roo Code,,
Roo Code,Roo Code,,
amp@ampcode.com,Amp,,
noreply@opencode.ai,Opencode,,
Kilo Code,Kilo Code,,
crush@charm.land,Crush,,
codex@openai.com,Codex,,
Gemini 2.5 Pro,Gemini,,
Gemini 2.5 Flash,Gemini,,
Qwen-Coder,Qwen Coder,,
qwen-coder@alibabacloud.com,Qwen Coder,,
open-swe,Langchain Open SWE,,
noreply@warp.dev,Warp,,
no-reply@ona.com,Ona,,
AI [Aa]ssistant,Generic,,
seer-by-sentry,Sentry Seer,,
agent@abacus.ai,Abacus,,
abacus-ai-automation[bot],Abacus,,
vibe@mistral.ai,Mistral Vibe,,
noreply@letta.com,Letta Code,,
factory-droid[bot],Factory Droid,,
Claude Opus 4.5,Claude Code,,
Claude Opus 4.6,Claude Code,,
Claude Haiku 4.5,Claude Code,,
Claude Sonnet 4.5,Claude Code,,
Codex (gpt-5.2-codex),Codex,,
codex@openai.com,Codex,,
opencode-agent,Opencode,,
Claude (glm-4.7),Claude Code,,
Claude (GLM-4.7),Claude Code,,
Claude (glm-4.6),Claude Code,,
Claude (GLM-4.6),Claude Code,,
Claude (kimi-for-coding),Claude Code,,
Claude (kimi-k2.5),Claude Code,,
Claude (MiniMax-M2.1),Claude Code,,
kiro@aws.amazon.com,Kiro,,
kiro-noreply@amazon.com,Kiro,,
kiro-agent@amazon.com,Kiro,,
microsoft-amplifier@users.noreply.github.com,Microsoft Amplifier,,
verdent@verdent.ai,Verdent,,
noreply@verdent.ai,Verdent,,
noreply@paperclip.ing,Paperclip,,
