pattern,tool,start_date,end_date
copilot-instructions.md,Copilot,,
copilot_instructions.md,Copilot,,
copilot-instructions/,Copilot,,
.github/instructions/,Copilot,,
.copilot-*.md,Copilot,,
.copilotignore,Copilot,,
.copilot/,Copilot,,
.github/workflows/copilot/,Copilot,,
.cursor/,Cursor,,
.cursorrules,Cursor,,
CURSOR.md,Cursor,,
AGENTS.md,Generic,,
.codex/,Codex,,
CLAUDE.md,Claude Code,,
.claude/,Claude Code,,
.anthropic/,Claude Code,,
.claudeignore,Claude Code,,
.github/workflows/claude,Claude Code,,
.devin/,Devin,,
.augment/,Augment Code,,
.augmentignore,Augment Code,,
.augment-guidelines,Augment Code,,
.windsurf/,Windsurf,,
.windsurfrules,Windsurf,,
.codeium/,Windsurf,,
.clinerules,Cline,,
.cline/,Cline,,
README-task-master.md,Taskmaster,,
taskmaster.md,Taskmaster,,
.taskmaster/,Taskmaster,,
memory-bank/,Cline,,
memory_bank/,Cline,,
.specify/memory/constitution.md,SpecKit,,
.specify,SpecKit,,
AGENT.md,Amp,,
.sourcegraph/,Amp,,
aider.conf.yaml,Aider,,
aider.conf.yml,Aider,,
.aider.conf.yaml,Aider,,
.aider.conf.yml,Aider,,
.aiderignore,Aider,,
.aider/,Aider,,
.junie/,Junie,,
.jetbrains/instructions.md,Junie,,
.junieignore,Junie,,
.jules/,Jules,,
.aiderrules,Aider,,
.roo/,Roo Code,,
.roorules,Roo Code,,
.trae/,Trae,,
.traerules,Trae,,
GEMINI.md,Gemini,,
.gemini/,Gemini,,
.openhands/,OpenHands,,
.openhands_instructions,OpenHands,,
.goosehints,Goose,,
.plandexignore,Plandex,,
.plandex/,Plandex,,
.plandex-v2,Plandex,,
.continue/,Continue,,
.kiro/,Kiro,,
.brokk/,Brokk,,
.kilocode/,Kilo Code,,
.kilocodeignore,Kilo Code,,
.opencode/,Opencode,,
.opencode.json,Opencode,,
opencode.json,Opencode,,
WARP.md,Warp,,
.warp/,Warp,,
.crush/,Crush,,
.amazonq/,Amazon Q,,
AmazonQ.md,Amazon Q,,
AMAZONQ.md,Amazon Q,,
CRUSH.md,Crush,,
QWEN.md,Qwen Coder,,
CODEBUDDY.md,Codebuddy,,
.comate/,Baidu Comate,,
.lingma/,Alibaba Lingma,,
.tessl/,Tessl,,
.serena/,Serena,,
.rulesync/,Rulesync,,
.factory/droids/,Factory Droid,,
.factory/commands/,Factory Droid,,
.factory/docs/,Factory Droid,,
.qodo/,Qodo,,
.verdent/,Verdent,,
.marscode/,Trae,,
.charlie/instructions/,Charlie,,
.kimi/,Kimi Code,,
.pi/,Pi,,
.pi/prompts/,Pi,,
.pi/extensions/,Pi,,
.rovodev/,Atlassian Rovodev,,
.specstory/,SpecStory,,
.superpowers/,Superpowers,,
