tool,url
Aider,https://aider.chat/
Alibaba Lingma,https://www.alibabacloud.com/en/product/lingma
Amp,https://sourcegraph.com/amp
Augment Code,https://www.augmentcode.com/
Baidu Comate,https://comate.baidu.com/
Brokk,https://brokk.ai/
ChatGPT,https://chatgpt.com/
Claude Code,https://www.claude.com/product/claude-code
Cline,https://cline.bot/
Codebuddy,https://www.codebuddy.ai/
Codegen,https://codegen.com/
Coderabbit,https://coderabbit.ai/
Codex,https://openai.com/codex
Continue,https://www.continue.dev/
Copilot,https://github.com/features/copilot
CopilotSwe,https://github.blog/changelog/2025-09-22-copilot-swe-model-rolling-out-to-visual-studio-code-insiders/
Crush,https://github.com/charmbracelet/crush
Cursor,https://cursor.com/
Deepsource,https://deepsource.com/
Devin,https://devin.ai/
Factory Droid,https://factory.ai/
Fly,https://fly.io/
Gemini,https://gemini.google.com/
Generic,https://agents.md
Goose,https://github.com/block/goose
GPT-Engineer,https://github.com/AntonOsika/gpt-engineer
Gru,https://gru.ai/
Jules,https://jules.google/
Junie,https://www.jetbrains.com/junie/
Kilo Code,https://kilocode.ai/
Kiro,https://kiro.dev/
Langchain Open SWE,https://github.com/langchain-ai/open-swe
Ona,https://ona.com/
Opencode,https://opencode.site
OpenHands,https://github.com/All-Hands-AI/OpenHands
Plandex,https://plandex.ai/
Phoenix,https://phoenix.new/
Qwen Coder,https://github.com/QwenLM/qwen-code
Roo Code,https://github.com/RooCodeInc/Roo-Code
Sketch,https://www.sketch.com/
Sourcery,https://sourcery.ai/
Sweep,https://sweep.dev/
Taskmaster,https://github.com/eyaltoledano/claude-task-master
Trae,https://www.trae.ai/
Warp,https://www.warp.dev/
Windsurf,https://windsurf.com/
Zed,https://zed.dev/
SpecKit,https://github.com/github/spec-kit
Tessl,https://tessl.io
Serena,https://github.com/oraios/serena
Rulesync,https://github.com/dyoshikawa/rulesync/tree/main
Qodo,https://qodo.ai
Verdent,https://verdent.ai
AmazonQ,https://aws.amazon.com/q/
Charlie,https://www.charlielabs.ai
Azad,https://www.azad.bot
Letta Code,https://www.letta.com
Mistral Vibe,https://docs.mistral.ai/mistral-vibe/introduction
Factory Droid,https://factory.ai
Microsoft Amplifier,https://github.com/microsoft/amplifier
Sentry Seer,https://sentry.io/product/seer
Pi,https://pi.dev/
Atlassian Rovodev,https://www.atlassian.com/software/rovo-dev
SpecStory,https://specstory.com
Superpowers,https://github.com/obra/superpowers
Paperclip,https://paperclip.ing
